names,gen,real
10460,a of of a city,['shone windows of houses of a night city']
10312,actor attends the premiere,['football player attends the press conference .']
11179,person on the beach,['pilgrims taking a holy dip']
11069,the of the mountain,['the sand dunes of the desert']
10267,a view of the city,['buildings and sculptures of letters']
10762,the of the city,['giant tombs carved into the rocks']
10394,a black of a black background,['everyone says how much they love accents ']
11103,a man of a man,['put these animals into order of gestation period - shortest to longest']
10881,a of a city,['household and electronic mobile shop on the street']
10983,actor attends the premiere,['simple style : wore her loose top tucked into the waistband of her jeans']
10408,a flower of a flower,['creating a composition of flowers by hand']
10144,a man of a man,['snow covered bicycles parked in a row']
10127,a man of a man in a city,['happy little girl learns how to ride a bike in the park .']
10564,a man with a woman with a beach,['oil well with a pink sky at sunset time .']
10014,a man and a woman and a beach,['alone boy throw rocks in the lake water']
10511,actor attends the premiere,['actor on the set of romantic comedy film directed and produced by film director']
11183,person in the city,['a speaker introduces a documentary in an art gallery on the quiet outskirts .']
10456,a man of a man,['surfer on beach with surfboard by the sea']
10760,vector illustration of a woman girl with a white background,['illustration of a guy and a girl']
10045,a of a man with a dog,['business : breakfast at the bar']
11276,a white background with a white background,['new year tree decorated with toys ']
10694,a man of a city,['the view from left eye']
10601,a man and a man and a man,['tourists queuing for the ferry']
11070,a of a dog in a white background,['biological species enjoying the berries of a bush .']
10152,a man man sitting on a beach,['person drags a simulated victim to safety during an event']
10959,person of the first of the game,['the many faces of comic book character .']
10149,a man of a man,['cooked meat on the bbq']
10487,a model of a car,['person ']
10427,a model walks the runway at the show,['after the workout : later on the same day ']
11162,a young woman woman in a dog,['a picture of a cat named person']
10941,a flag of the wind,['a colorful hot - air balloon being inflated in the distance']
10371,a man of a dog,['biological species on a rocking horse ']
11165,a city of the city,['a city is never more beautiful than after a winter snow .']
10379,a red background of a white background,['make the fifth part of the black and white pearl necklace']
10049,actor attends the premiere,"[""a good looking pair : the dance partner 's are arm in arm for another routine""]"
11302,view of the city,['ancient residence of view from inside the palace with water filled canal and reflections']
10919,person in the game,['ice hockey player looks on after a game']
10442,a beautiful of a beach,['all public waterways ? should have these .']
10728,a man of a man,['organic carrots at the farmers market']
10565,a tree in the forest,['stationary establishing shot of a vineyard with a dirt road and large oak tree in the foreground .']
